TicketID,EmployeeID,AdmissionsDate
113266,100015,2019-01-08
113267,100015,2019-01-08
113268,100014,2019-01-08
113269,100015,2019-01-08
113270,100015,2019-01-08
113271,100013,2019-01-08
113272,100014,2019-01-08
113273,100014,2019-01-08
113274,100015,2019-01-08
113275,100013,2019-01-08
113276,100013,2019-01-08
113277,100014,2019-01-08
113278,100012,2019-01-08
113279,100013,2019-01-08
113280,100013,2019-01-08
113281,100011,2019-01-08
113282,100012,2019-01-08
113283,100012,2019-01-08
113284,100013,2019-01-08
113285,100012,2019-01-08
113286,100015,2019-01-08
113287,100015,2019-01-08
113288,100011,2019-01-08
113289,100011,2019-01-08
113290,100014,2019-01-08
113291,100015,2019-01-08
113292,100014,2019-01-08
113293,100014,2019-01-08
113294,100015,2019-01-08
113295,100015,2019-01-08
113296,100013,2019-01-08
113297,100014,2019-01-08
113298,100014,2019-01-08
113299,100015,2019-01-08
113300,100014,2019-01-08
113301,100015,2019-01-08
113302,100013,2019-01-08
113303,100013,2019-01-08
113304,100012,2019-01-08
113305,100014,2019-01-08
113306,100012,2019-01-08
113307,100013,2019-01-08
113308,100015,2019-01-08
113309,100013,2019-01-08
113310,100014,2019-01-08
113311,100014,2019-01-08
113312,100015,2019-01-08
113313,100013,2019-01-08
113314,100013,2019-01-08
113315,100013,2019-01-08
113316,100014,2019-01-08
113317,100012,2019-01-08
113318,100013,2019-01-08
113319,100013,2019-01-08
113320,100014,2019-01-08
113321,100012,2019-01-08
113322,100012,2019-01-08
113323,100013,2019-01-08
113324,100013,2019-01-08
113325,100013,2019-01-08
113326,100014,2019-01-08
113327,100012,2019-01-08
113328,100012,2019-01-08
113329,100015,2019-01-08
113330,100013,2019-01-08
113331,100013,2019-01-08
113332,100014,2019-01-09
113333,100013,2019-01-09
113334,100012,2019-01-09
113335,100012,2019-01-09
113336,100015,2019-01-09
113337,100011,2019-01-09
113338,100011,2019-01-09
113339,100012,2019-01-09
113340,100011,2019-01-09
113341,100012,2019-01-09
113342,100015,2019-01-09
113343,100015,2019-01-09
113344,100011,2019-01-09
113345,100011,2019-01-09
113346,100011,2019-01-09
113347,100012,2019-01-09
113348,100012,2019-01-09
113349,100015,2019-01-09
113350,100011,2019-01-09
113351,100011,2019-01-09
113352,100012,2019-01-09
113353,100015,2019-01-09
113354,100013,2019-01-09
113355,100014,2019-01-09
113356,100011,2019-01-09
113357,100014,2019-01-09
113358,100013,2019-01-09
113359,100014,2019-01-09
113360,100014,2019-01-09
113361,100015,2019-01-09
113362,100013,2019-01-09
113363,100013,2019-01-09
113364,100015,2019-01-09
113365,100013,2019-01-09
113366,100014,2019-01-09
113367,100014,2019-01-09
113368,100015,2019-01-09
113369,100013,2019-01-09
113370,100013,2019-01-09
113371,100012,2019-01-09
113372,100013,2019-01-09
113373,100012,2019-01-09
113374,100013,2019-01-09
113375,100014,2019-01-09
113376,100013,2019-01-09
113377,100011,2019-01-10
113378,100014,2019-01-11
113379,100014,2019-01-11
113380,100015,2019-01-11
113381,100015,2019-01-11
113382,100013,2019-01-11
113383,100015,2019-01-11
113384,100015,2019-01-11
113385,100011,2019-01-11
113386,100015,2019-01-11
113387,100011,2019-01-11
113388,100011,2019-01-11
113389,100015,2019-01-11
113390,100011,2019-01-11
113391,100011,2019-01-11
113392,100014,2019-01-11
113393,100015,2019-01-11
113394,100015,2019-01-11
113395,100015,2019-01-11
113396,100011,2019-01-11
113397,100014,2019-01-11
113398,100014,2019-01-11
113399,100015,2019-01-11
113400,100015,2019-01-11
113401,100013,2019-01-11
113402,100014,2019-01-11
113403,100014,2019-01-11
113404,100015,2019-01-11
113405,100013,2019-01-11
113406,100013,2019-01-11
113407,100015,2019-01-11
113408,100014,2019-01-11
113409,100014,2019-01-11
113410,100014,2019-01-11
113411,100015,2019-01-11
113412,100015,2019-01-11
113413,100015,2019-01-11
113414,100013,2019-01-11
113415,100014,2019-01-11
113416,100014,2019-01-11
113417,100013,2019-01-11
113418,100011,2019-01-11
113419,100013,2019-01-11
113420,100011,2019-01-11
113421,100011,2019-01-11
113422,100012,2019-01-11
113423,100012,2019-01-12
113424,100012,2019-01-12
113425,100013,2019-01-12
113426,100013,2019-01-12
113427,100011,2019-01-12
113428,100012,2019-01-12
113429,100012,2019-01-12
113430,100013,2019-01-12
113431,100011,2019-01-12
113432,100013,2019-01-12
113433,100012,2019-01-12
113434,100011,2019-01-12
113435,100012,2019-01-12
113436,100011,2019-01-12
113437,100011,2019-01-12
113438,100011,2019-01-12
113439,100014,2019-01-13
113440,100015,2019-01-13
113441,100013,2019-01-13
113442,100013,2019-01-13
113443,100014,2019-01-13
113444,100014,2019-01-13
113445,100012,2019-01-13
113446,100013,2019-01-13
113447,100013,2019-01-13
113448,100014,2019-01-13
113449,100012,2019-01-13
113450,100012,2019-01-13
113451,100013,2019-01-13
113452,100014,2019-01-13
113453,100011,2019-01-13
113454,100012,2019-01-13
113455,100013,2019-01-13
113456,100012,2019-01-13
113457,100013,2019-01-13
113458,100013,2019-01-13
113459,100011,2019-01-13
113460,100012,2019-01-13
113461,100012,2019-01-13
113462,100013,2019-01-13
113463,100011,2019-01-13
113464,100011,2019-01-13
113465,100012,2019-01-13
113466,100012,2019-01-13
113467,100015,2019-01-13
113468,100011,2019-01-13
113469,100011,2019-01-13
113470,100012,2019-01-13
113471,100015,2019-01-13
113472,100015,2019-01-13
113473,100011,2019-01-13
113474,100012,2019-01-13
113475,100014,2019-01-13
113476,100011,2019-01-13
113477,100014,2019-01-13
113478,100014,2019-01-13
113479,100015,2019-01-13
113480,100015,2019-01-13
113481,100012,2019-01-13
113482,100015,2019-01-13
113483,100015,2019-01-13
113484,100011,2019-01-13
113485,100011,2019-01-13
113486,100014,2019-01-13
113487,100015,2019-01-13
113488,100015,2019-01-13
113489,100011,2019-01-13
113490,100014,2019-01-13
113491,100014,2019-01-13
113492,100015,2019-01-13
113493,100011,2019-01-13
113494,100013,2019-01-13
113495,100014,2019-01-13
113496,100015,2019-01-14
113497,100015,2019-01-14
113498,100013,2019-01-14
113499,100014,2019-01-14
113500,100014,2019-01-14
113501,100015,2019-01-14
113502,100013,2019-01-14
113503,100013,2019-01-14
113504,100013,2019-01-14
113505,100013,2019-01-14
113506,100014,2019-01-14
113507,100014,2019-01-14
113508,100012,2019-01-14
113509,100013,2019-01-14
113510,100013,2019-01-14
113511,100014,2019-01-14
113512,100012,2019-01-14
113513,100012,2019-01-14
113514,100013,2019-01-14
113515,100014,2019-01-14
113516,100011,2019-01-14
113517,100012,2019-01-14
113518,100013,2019-01-14
113519,100013,2019-01-14
113520,100011,2019-01-14
113521,100012,2019-01-14
113522,100012,2019-01-14
113523,100013,2019-01-14
113524,100012,2019-01-14
113525,100013,2019-01-14
113526,100013,2019-01-14
113527,100013,2019-01-14
113528,100014,2019-01-14
113529,100012,2019-01-14
113530,100012,2019-01-14
113531,100013,2019-01-14
113532,100013,2019-01-14
113533,100011,2019-01-14
113534,100013,2019-01-14
113535,100014,2019-01-14
113536,100012,2019-01-14
113537,100013,2019-01-14
113538,100011,2019-01-14
113539,100014,2019-01-14
113540,100012,2019-01-14
113541,100012,2019-01-14
113542,100013,2019-01-14
113543,100012,2019-01-14
113544,100013,2019-01-14
113545,100015,2019-01-14
113546,100014,2019-01-14
113547,100011,2019-01-14
113548,100014,2019-01-14
113549,100015,2019-01-14
113550,100015,2019-01-14
113551,100011,2019-01-14
113552,100014,2019-01-14
113553,100011,2019-01-14
113554,100015,2019-01-14
113555,100011,2019-01-14
113556,100013,2019-01-15
113557,100014,2019-01-15
113558,100015,2019-01-15
113559,100015,2019-01-15
113560,100013,2019-01-15
113561,100014,2019-01-15
113562,100014,2019-01-15
113563,100014,2019-01-15
113564,100014,2019-01-15
113565,100015,2019-01-15
113566,100015,2019-01-15
113567,100013,2019-01-15
113568,100014,2019-01-15
113569,100014,2019-01-15
113570,100014,2019-01-15
113571,100015,2019-01-15
113572,100015,2019-01-15
113573,100015,2019-01-15
113574,100015,2019-01-15
113575,100012,2019-01-15
113576,100013,2019-01-15
113577,100015,2019-01-15
113578,100011,2019-01-15
113579,100012,2019-01-15
113580,100012,2019-01-15
113581,100012,2019-01-15
113582,100012,2019-01-15
113583,100012,2019-01-15
113584,100013,2019-01-15
113585,100013,2019-01-15
113586,100011,2019-01-15
113587,100012,2019-01-15
113588,100011,2019-01-15
113589,100012,2019-01-15
113590,100012,2019-01-15
113591,100013,2019-01-15
113592,100011,2019-01-15
113593,100011,2019-01-15
113594,100012,2019-01-15
113595,100013,2019-01-15
113596,100012,2019-01-15
113597,100013,2019-01-15
113598,100013,2019-01-15
113599,100015,2019-01-15
113600,100013,2019-01-16
113601,100013,2019-01-16
113602,100014,2019-01-16
113603,100014,2019-01-16
113604,100012,2019-01-16
113605,100014,2019-01-16
113606,100014,2019-01-16
113607,100015,2019-01-16
113608,100015,2019-01-16
113609,100015,2019-01-16
113610,100011,2019-01-16
113611,100014,2019-01-16
113612,100014,2019-01-16
113613,100015,2019-01-16
113614,100014,2019-01-16
113615,100015,2019-01-16
113616,100011,2019-01-16
113617,100011,2019-01-16
113618,100014,2019-01-16
113619,100015,2019-01-16
113620,100014,2019-01-16
113621,100012,2019-01-16
113622,100012,2019-01-16
113623,100015,2019-01-16
113624,100011,2019-01-16
113625,100015,2019-01-16
113626,100011,2019-01-16
113627,100013,2019-01-16
113628,100011,2019-01-16
113629,100012,2019-01-16
113630,100011,2019-01-16
113631,100012,2019-01-16
113632,100013,2019-01-16
113633,100014,2019-01-17
113634,100014,2019-01-17
113635,100012,2019-01-17
113636,100015,2019-01-17
113637,100015,2019-01-17
113638,100015,2019-01-17
113639,100011,2019-01-17
113640,100013,2019-01-17
113641,100014,2019-01-17
113642,100015,2019-01-17
113643,100015,2019-01-17
113644,100015,2019-01-17
113645,100015,2019-01-17
113646,100011,2019-01-17
113647,100014,2019-01-17
113648,100013,2019-01-17
113649,100015,2019-01-17
113650,100013,2019-01-17
113651,100014,2019-01-17
113652,100014,2019-01-17
113653,100015,2019-01-17
113654,100013,2019-01-17
113655,100013,2019-01-17
113656,100014,2019-01-17
113657,100015,2019-01-17
113658,100012,2019-01-17
113659,100013,2019-01-17
113660,100013,2019-01-17
113661,100013,2019-01-17
113662,100014,2019-01-17
113663,100014,2019-01-17
113664,100012,2019-01-17
113665,100015,2019-01-17
113666,100015,2019-01-17
113667,100013,2019-01-17
113668,100014,2019-01-17
113669,100014,2019-01-17
113670,100014,2019-01-17
113671,100014,2019-01-17
113672,100015,2019-01-17
113673,100013,2019-01-17
113674,100013,2019-01-17
113675,100014,2019-01-17
113676,100015,2019-01-17
113677,100012,2019-01-17
113678,100013,2019-01-17
113679,100014,2019-01-17
113680,100013,2019-01-17
113681,100014,2019-01-17
113682,100014,2019-01-17
113683,100014,2019-01-17
113684,100015,2019-01-18
113685,100015,2019-01-18
113686,100015,2019-01-18
113687,100015,2019-01-18
113688,100011,2019-01-18
113689,100012,2019-01-18
113690,100015,2019-01-18
113691,100011,2019-01-18
113692,100012,2019-01-18
113693,100011,2019-01-18
113694,100014,2019-01-18
113695,100014,2019-01-18
113696,100011,2019-01-18
113697,100013,2019-01-18
113698,100013,2019-01-18
113699,100013,2019-01-18
113700,100011,2019-01-18
113701,100014,2019-01-18
113702,100013,2019-01-18
113703,100014,2019-01-18
113704,100014,2019-01-18
113705,100011,2019-01-18
113706,100014,2019-01-18
113707,100011,2019-01-18
113708,100012,2019-01-18
113709,100011,2019-01-18
113710,100012,2019-01-18
113711,100013,2019-01-18
113712,100013,2019-01-18
113713,100013,2019-01-18
113714,100013,2019-01-18
113715,100011,2019-01-18
113716,100014,2019-01-18
113717,100011,2019-01-18
113718,100013,2019-01-18
113719,100012,2019-01-18
113720,100013,2019-01-18
113721,100013,2019-01-18
113722,100011,2019-01-18
113723,100012,2019-01-18
113724,100013,2019-01-18
113725,100014,2019-01-18
113726,100014,2019-01-18
113727,100014,2019-01-18
113728,100014,2019-01-18
113729,100014,2019-01-18
113730,100015,2019-01-18
113731,100015,2019-01-18
113732,100015,2019-01-18
113733,100011,2019-01-18
113734,100014,2019-01-18
113735,100015,2019-01-18
113736,100013,2019-01-18
113737,100013,2019-01-18
113738,100013,2019-01-18
113739,100013,2019-01-18
113740,100011,2019-01-18
113741,100012,2019-01-18
113742,100014,2019-01-18
113743,100012,2019-01-18
113744,100013,2019-01-18
113745,100013,2019-01-19
113746,100013,2019-01-19
113747,100013,2019-01-19
113748,100013,2019-01-19
113749,100013,2019-01-19
113750,100011,2019-01-19
113751,100013,2019-01-19
113752,100013,2019-01-19
113753,100014,2019-01-19
113754,100014,2019-01-19
113755,100011,2019-01-19
113756,100011,2019-01-19
113757,100011,2019-01-19
113758,100014,2019-01-19
113759,100011,2019-01-19
113760,100012,2019-01-19
113761,100015,2019-01-19
113762,100015,2019-01-19
113763,100011,2019-01-19
113764,100011,2019-01-19
113765,100014,2019-01-19
113766,100015,2019-01-19
113767,100015,2019-01-19
113768,100015,2019-01-19
113769,100011,2019-01-19
113770,100011,2019-01-19
113771,100014,2019-01-19
113772,100015,2019-01-19
113773,100015,2019-01-19
113774,100011,2019-01-19
113775,100011,2019-01-19
113776,100011,2019-01-19
113777,100012,2019-01-19
113778,100011,2019-01-19
113779,100015,2019-01-19
113780,100015,2019-01-19
113781,100015,2019-01-19
113782,100011,2019-01-19
113783,100011,2019-01-19
113784,100011,2019-01-20
113785,100012,2019-01-20
113786,100011,2019-01-20
113787,100012,2019-01-20
113788,100012,2019-01-20
113789,100015,2019-01-20
113790,100011,2019-01-20
113791,100013,2019-01-20
113792,100011,2019-01-20
113793,100014,2019-01-21
113794,100011,2019-01-21
113795,100012,2019-01-21
113796,100014,2019-01-21
113797,100013,2019-01-21
113798,100013,2019-01-21
113799,100013,2019-01-21
113800,100014,2019-01-21
113801,100014,2019-01-21
113802,100014,2019-01-21
113803,100012,2019-01-21
113804,100013,2019-01-21
113805,100013,2019-01-21
113806,100013,2019-01-21
113807,100013,2019-01-21
113808,100014,2019-01-21
113809,100014,2019-01-21
113810,100012,2019-01-21
113811,100013,2019-01-21
113812,100013,2019-01-21
113813,100013,2019-01-21
113814,100014,2019-01-21
113815,100014,2019-01-21
113816,100014,2019-01-21
113817,100014,2019-01-21
113818,100011,2019-01-21
113819,100012,2019-01-21
113820,100015,2019-01-21
113821,100015,2019-01-21
113822,100015,2019-01-21
113823,100015,2019-01-21
113824,100011,2019-01-21
113825,100011,2019-01-21
113826,100014,2019-01-21
113827,100015,2019-01-21
113828,100015,2019-01-21
113829,100015,2019-01-21
113830,100011,2019-01-21
113831,100011,2019-01-21
113832,100012,2019-01-21
113833,100015,2019-01-21
113834,100015,2019-01-21
113835,100015,2019-01-21
113836,100015,2019-01-21
113837,100011,2019-01-21
113838,100012,2019-01-22
113839,100011,2019-01-22
113840,100011,2019-01-22
113841,100013,2019-01-22
113842,100014,2019-01-22
113843,100012,2019-01-22
113844,100014,2019-01-22
113845,100012,2019-01-22
113846,100013,2019-01-22
113847,100015,2019-01-22
113848,100013,2019-01-22
113849,100015,2019-01-22
113850,100015,2019-01-22
113851,100012,2019-01-22
113852,100013,2019-01-22
113853,100013,2019-01-22
113854,100013,2019-01-23
113855,100014,2019-01-23
113856,100014,2019-01-23
113857,100012,2019-01-23
113858,100014,2019-01-23
113859,100014,2019-01-23
113860,100012,2019-01-23
113861,100015,2019-01-23
113862,100015,2019-01-23
113863,100011,2019-01-23
113864,100011,2019-01-23
113865,100011,2019-01-23
113866,100011,2019-01-23
113867,100014,2019-01-23
113868,100012,2019-01-23
113869,100013,2019-01-23
113870,100014,2019-01-23
113871,100012,2019-01-23
113872,100012,2019-01-23
113873,100012,2019-01-23
113874,100014,2019-01-23
113875,100014,2019-01-23
113876,100013,2019-01-23
113877,100014,2019-01-23
113878,100014,2019-01-23
113879,100014,2019-01-23
113880,100015,2019-01-23
113881,100013,2019-01-23
113882,100015,2019-01-23
113883,100015,2019-01-23
113884,100015,2019-01-23
113885,100011,2019-01-23
113886,100014,2019-01-23
113887,100014,2019-01-23
113888,100011,2019-01-23
113889,100011,2019-01-23
113890,100012,2019-01-23
113891,100015,2019-01-23
113892,100015,2019-01-23
113893,100013,2019-01-23
113894,100015,2019-01-23
113895,100011,2019-01-24
113896,100011,2019-01-24
113897,100011,2019-01-24
113898,100012,2019-01-24
113899,100012,2019-01-24
113900,100015,2019-01-24
113901,100013,2019-01-24
113902,100013,2019-01-25
113903,100011,2019-01-25
113904,100012,2019-01-25
113905,100013,2019-01-25
113906,100013,2019-01-25
113907,100013,2019-01-25
113908,100014,2019-01-25
113909,100014,2019-01-25
113910,100014,2019-01-25
113911,100015,2019-01-25
113912,100015,2019-01-25
113913,100013,2019-01-25
113914,100011,2019-01-25
113915,100013,2019-01-25
113916,100014,2019-01-25
113917,100011,2019-01-25
113918,100011,2019-01-25
113919,100012,2019-01-25
113920,100015,2019-01-25
113921,100012,2019-01-25
113922,100012,2019-01-25
113923,100015,2019-01-25
113924,100011,2019-01-25
113925,100011,2019-01-25
113926,100011,2019-01-25
113927,100012,2019-01-25
113928,100011,2019-01-25
113929,100012,2019-01-25
113930,100012,2019-01-25
113931,100012,2019-01-25
113932,100013,2019-01-25
113933,100013,2019-01-25
113934,100013,2019-01-25
113935,100014,2019-01-25
113936,100014,2019-01-25
113937,100012,2019-01-25
113938,100014,2019-01-25
113939,100012,2019-01-25
113940,100013,2019-01-25
113941,100015,2019-01-25
113942,100013,2019-01-26
113943,100014,2019-01-26
113944,100013,2019-01-26
113945,100014,2019-01-26
113946,100014,2019-01-26
113947,100015,2019-01-26
113948,100013,2019-01-26
113949,100015,2019-01-26
113950,100011,2019-01-26
113951,100013,2019-01-26
113952,100014,2019-01-26
113953,100012,2019-01-26
113954,100012,2019-01-26
113955,100013,2019-01-26
113956,100013,2019-01-26
113957,100011,2019-01-26
113958,100014,2019-01-26
113959,100012,2019-01-26
113960,100013,2019-01-26
113961,100011,2019-01-26
113962,100013,2019-01-26
113963,100011,2019-01-26
113964,100012,2019-01-26
113965,100014,2019-01-26
113966,100012,2019-01-26
113967,100012,2019-01-26
113968,100013,2019-01-26
113969,100014,2019-01-26
113970,100011,2019-01-26
113971,100014,2019-01-26
113972,100012,2019-01-26
113973,100012,2019-01-26
113974,100013,2019-01-26
113975,100013,2019-01-26
113976,100013,2019-01-26
113977,100014,2019-01-26
113978,100014,2019-01-26
113979,100012,2019-01-26
113980,100014,2019-01-27
113981,100012,2019-01-27
113982,100013,2019-01-27
113983,100015,2019-01-27
113984,100013,2019-01-27
113985,100014,2019-01-27
113986,100013,2019-01-27
113987,100014,2019-01-27
113988,100014,2019-01-27
113989,100015,2019-01-27
113990,100013,2019-01-27
113991,100015,2019-01-27
113992,100011,2019-01-27
113993,100014,2019-01-27
113994,100011,2019-01-27
113995,100014,2019-01-27
113996,100015,2019-01-27
113997,100012,2019-01-27
113998,100015,2019-01-27
113999,100015,2019-01-27
114000,100015,2019-01-27
114001,100012,2019-01-27
114002,100013,2019-01-27
114003,100013,2019-01-27
114004,100012,2019-01-27
114005,100013,2019-01-27
114006,100013,2019-01-27
114007,100014,2019-01-27
114008,100014,2019-01-27
114009,100014,2019-01-27
114010,100014,2019-01-27
114011,100015,2019-01-27
114012,100014,2019-01-27
114013,100012,2019-01-27
114014,100014,2019-01-27
114015,100015,2019-01-27
114016,100011,2019-01-27
114017,100015,2019-01-27
114018,100011,2019-01-27
114019,100011,2019-01-27
114020,100014,2019-01-27
114021,100012,2019-01-27
114022,100012,2019-01-27
114023,100015,2019-01-27
114024,100011,2019-01-27
114025,100015,2019-01-27
114026,100013,2019-01-27
114027,100013,2019-01-27
114028,100011,2019-01-27
114029,100013,2019-01-27
114030,100011,2019-01-27
114031,100012,2019-01-27
114032,100013,2019-01-27
114033,100013,2019-01-27
114034,100013,2019-01-27
114035,100014,2019-01-27
114036,100015,2019-01-27
114037,100015,2019-01-27
114038,100015,2019-01-28
114039,100011,2019-01-28
114040,100015,2019-01-28
114041,100015,2019-01-28
114042,100011,2019-01-28
114043,100011,2019-01-28
114044,100012,2019-01-28
114045,100015,2019-01-28
114046,100012,2019-01-28
114047,100012,2019-01-28
114048,100015,2019-01-28
114049,100013,2019-01-28
114050,100011,2019-01-28
114051,100011,2019-01-28
114052,100014,2019-01-28
114053,100015,2019-01-28
114054,100013,2019-01-28
114055,100015,2019-01-28
114056,100013,2019-01-28
114057,100014,2019-01-28
114058,100014,2019-01-28
114059,100014,2019-01-28
114060,100015,2019-01-28
114061,100015,2019-01-28
114062,100015,2019-01-28
114063,100015,2019-01-28
114064,100011,2019-01-28
114065,100011,2019-01-28
114066,100011,2019-01-28
114067,100012,2019-01-28
114068,100015,2019-01-28
114069,100015,2019-01-28
114070,100015,2019-01-28
114071,100015,2019-01-28
114072,100011,2019-01-28
114073,100011,2019-01-28
114074,100011,2019-01-28
114075,100011,2019-01-28
114076,100012,2019-01-28
114077,100014,2019-01-28
114078,100012,2019-01-28
114079,100012,2019-01-28
114080,100012,2019-01-28
114081,100013,2019-01-28
114082,100013,2019-01-28
114083,100013,2019-01-28
114084,100013,2019-01-28
114085,100013,2019-01-28
114086,100014,2019-01-28
114087,100011,2019-01-28
114088,100014,2019-01-28
114089,100014,2019-01-28
114090,100014,2019-01-28
114091,100015,2019-01-28
114092,100015,2019-01-28
114093,100011,2019-01-28
114094,100014,2019-01-28
114095,100011,2019-01-28
114096,100011,2019-01-28
114097,100011,2019-01-28
114098,100011,2019-01-28
114099,100012,2019-01-28
114100,100011,2019-01-28
114101,100014,2019-01-28
114102,100013,2019-01-28
114103,100014,2019-01-28
114104,100014,2019-01-28
114105,100014,2019-01-28
114106,100015,2019-01-29
114107,100015,2019-01-29
114108,100013,2019-01-29
114109,100011,2019-01-29
114110,100013,2019-01-29
114111,100014,2019-01-29
114112,100011,2019-01-29
114113,100014,2019-01-29
114114,100015,2019-01-29
114115,100015,2019-01-29
