TicketNumber,Price,DateOfPurchase,TicketCode
113240,10.0000000000,2019-01-08,4
113241,12.0000000000,2019-01-08,1
113242,10.0000000000,2019-01-08,4
113243,8.0000000000,2019-01-08,2
113244,10.0000000000,2019-01-08,3
113245,10.0000000000,2019-01-08,4
113246,8.0000000000,2019-01-08,2
113247,10.0000000000,2019-01-08,3
113248,10.0000000000,2019-01-08,3
113249,8.0000000000,2019-01-08,2
113250,12.0000000000,2019-01-08,1
113251,12.0000000000,2019-01-08,1
113252,10.0000000000,2019-01-08,4
113253,10.0000000000,2019-01-08,4
113254,10.0000000000,2019-01-08,3
113255,10.0000000000,2019-01-08,3
113256,10.0000000000,2019-01-08,4
113257,10.0000000000,2019-01-08,4
113258,12.0000000000,2019-01-08,1
113259,12.0000000000,2019-01-08,1
113260,10.0000000000,2019-01-08,4
113261,10.0000000000,2019-01-08,4
113262,10.0000000000,2019-01-08,3
113263,12.0000000000,2019-01-08,1
113264,8.0000000000,2019-01-08,2
113265,10.0000000000,2019-01-08,4
113266,12.0000000000,2019-01-08,1
113267,8.0000000000,2019-01-08,2
113268,10.0000000000,2019-01-08,4
113269,12.0000000000,2019-01-08,1
113270,10.0000000000,2019-01-09,3
113271,10.0000000000,2019-01-09,4
113272,10.0000000000,2019-01-09,3
113273,12.0000000000,2019-01-09,1
113274,8.0000000000,2019-01-09,2
113275,10.0000000000,2019-01-09,3
113276,12.0000000000,2019-01-09,1
113277,8.0000000000,2019-01-09,2
113278,10.0000000000,2019-01-09,4
113279,12.0000000000,2019-01-09,1
113280,10.0000000000,2019-01-09,3
113281,10.0000000000,2019-01-09,4
113282,8.0000000000,2019-01-09,2
113283,10.0000000000,2019-01-09,3
113284,12.0000000000,2019-01-09,1
113285,8.0000000000,2019-01-09,2
113286,10.0000000000,2019-01-09,4
113287,10.0000000000,2019-01-09,3
113288,10.0000000000,2019-01-09,3
113289,8.0000000000,2019-01-09,2
113290,8.0000000000,2019-01-09,2
113291,12.0000000000,2019-01-09,1
113292,12.0000000000,2019-01-09,1
113293,10.0000000000,2019-01-09,4
113294,10.0000000000,2019-01-09,4
113295,10.0000000000,2019-01-09,3
113296,8.0000000000,2019-01-09,2
113297,8.0000000000,2019-01-09,2
113298,10.0000000000,2019-01-09,3
113299,12.0000000000,2019-01-09,1
113300,8.0000000000,2019-01-09,2
113301,10.0000000000,2019-01-09,4
113302,12.0000000000,2019-01-09,1
113303,10.0000000000,2019-01-09,4
113304,10.0000000000,2019-01-09,4
113305,10.0000000000,2019-01-09,3
113306,12.0000000000,2019-01-09,1
113307,8.0000000000,2019-01-09,2
113308,10.0000000000,2019-01-09,3
113309,12.0000000000,2019-01-09,1
113310,8.0000000000,2019-01-09,2
113311,10.0000000000,2019-01-09,3
113312,12.0000000000,2019-01-09,1
113313,10.0000000000,2019-01-09,4
113314,10.0000000000,2019-01-09,4
113315,10.0000000000,2019-01-09,3
113316,10.0000000000,2019-01-09,3
113317,8.0000000000,2019-01-09,2
113318,8.0000000000,2019-01-09,2
113319,12.0000000000,2019-01-09,1
113320,12.0000000000,2019-01-09,1
113321,8.0000000000,2019-01-09,2
113322,10.0000000000,2019-01-09,4
113323,10.0000000000,2019-01-09,3
113324,10.0000000000,2019-01-09,3
113325,8.0000000000,2019-01-09,2
113326,10.0000000000,2019-01-09,3
113327,12.0000000000,2019-01-09,1
113328,8.0000000000,2019-01-09,2
113329,10.0000000000,2019-01-09,4
113330,12.0000000000,2019-01-09,1
113331,10.0000000000,2019-01-09,3
113332,10.0000000000,2019-01-09,4
113333,10.0000000000,2019-01-09,3
113334,10.0000000000,2019-01-09,3
113335,8.0000000000,2019-01-09,2
113336,10.0000000000,2019-01-09,4
113337,12.0000000000,2019-01-09,1
113338,10.0000000000,2019-01-09,3
113339,10.0000000000,2019-01-09,4
113340,8.0000000000,2019-01-09,2
113341,10.0000000000,2019-01-09,3
113342,12.0000000000,2019-01-09,1
113343,8.0000000000,2019-01-09,2
113344,10.0000000000,2019-01-09,3
113345,12.0000000000,2019-01-09,1
113346,10.0000000000,2019-01-09,4
113347,12.0000000000,2019-01-09,1
113348,10.0000000000,2019-01-09,3
113349,12.0000000000,2019-01-09,1
113350,8.0000000000,2019-01-09,2
113351,10.0000000000,2019-01-09,3
113352,12.0000000000,2019-01-09,1
113353,8.0000000000,2019-01-10,2
113354,8.0000000000,2019-01-10,2
113355,10.0000000000,2019-01-10,4
113356,10.0000000000,2019-01-10,3
113357,10.0000000000,2019-01-10,3
113358,8.0000000000,2019-01-10,2
113359,10.0000000000,2019-01-10,3
113360,12.0000000000,2019-01-10,1
113361,8.0000000000,2019-01-10,2
113362,10.0000000000,2019-01-10,3
113363,12.0000000000,2019-01-10,1
113364,8.0000000000,2019-01-10,2
113365,10.0000000000,2019-01-10,4
113366,10.0000000000,2019-01-10,3
113367,10.0000000000,2019-01-10,3
113368,12.0000000000,2019-01-10,1
113369,10.0000000000,2019-01-10,4
113370,10.0000000000,2019-01-10,4
113371,10.0000000000,2019-01-10,3
113372,12.0000000000,2019-01-10,1
113373,8.0000000000,2019-01-10,2
113374,10.0000000000,2019-01-10,4
113375,10.0000000000,2019-01-10,3
113376,10.0000000000,2019-01-10,3
113377,10.0000000000,2019-01-10,4
113378,8.0000000000,2019-01-10,2
113379,10.0000000000,2019-01-10,3
113380,12.0000000000,2019-01-10,1
113381,10.0000000000,2019-01-10,4
113382,10.0000000000,2019-01-10,4
113383,12.0000000000,2019-01-10,1
113384,10.0000000000,2019-01-11,3
113385,8.0000000000,2019-01-11,2
113386,8.0000000000,2019-01-11,2
113387,12.0000000000,2019-01-11,1
113388,10.0000000000,2019-01-11,3
113389,10.0000000000,2019-01-11,4
113390,8.0000000000,2019-01-11,2
113391,12.0000000000,2019-01-11,1
113392,12.0000000000,2019-01-11,1
113393,10.0000000000,2019-01-11,4
113394,8.0000000000,2019-01-11,2
113395,8.0000000000,2019-01-11,2
113396,10.0000000000,2019-01-11,4
113397,10.0000000000,2019-01-11,3
113398,10.0000000000,2019-01-11,3
113399,8.0000000000,2019-01-11,2
113400,10.0000000000,2019-01-11,4
113401,10.0000000000,2019-01-11,4
113402,10.0000000000,2019-01-11,3
113403,8.0000000000,2019-01-11,2
113404,8.0000000000,2019-01-11,2
113405,12.0000000000,2019-01-11,1
113406,10.0000000000,2019-01-11,3
113407,10.0000000000,2019-01-11,4
113408,10.0000000000,2019-01-11,4
113409,10.0000000000,2019-01-11,3
113410,12.0000000000,2019-01-11,1
113411,8.0000000000,2019-01-11,2
113412,8.0000000000,2019-01-11,2
113413,12.0000000000,2019-01-11,1
113414,10.0000000000,2019-01-11,3
113415,12.0000000000,2019-01-11,1
113416,8.0000000000,2019-01-11,2
113417,10.0000000000,2019-01-11,4
113418,12.0000000000,2019-01-11,1
113419,10.0000000000,2019-01-11,3
113420,10.0000000000,2019-01-11,4
113421,8.0000000000,2019-01-11,2
113422,12.0000000000,2019-01-11,1
113423,8.0000000000,2019-01-11,2
113424,10.0000000000,2019-01-11,3
113425,8.0000000000,2019-01-11,2
113426,10.0000000000,2019-01-11,3
113427,12.0000000000,2019-01-11,1
113428,8.0000000000,2019-01-11,2
113429,10.0000000000,2019-01-11,4
113430,12.0000000000,2019-01-11,1
113431,10.0000000000,2019-01-11,3
113432,12.0000000000,2019-01-11,1
113433,8.0000000000,2019-01-11,2
113434,10.0000000000,2019-01-11,3
113435,12.0000000000,2019-01-11,1
113436,8.0000000000,2019-01-11,2
113437,10.0000000000,2019-01-11,4
113438,8.0000000000,2019-01-11,2
113439,10.0000000000,2019-01-11,3
113440,12.0000000000,2019-01-11,1
113441,10.0000000000,2019-01-11,4
113442,12.0000000000,2019-01-11,1
113443,10.0000000000,2019-01-11,3
113444,12.0000000000,2019-01-11,1
113445,8.0000000000,2019-01-11,2
113446,10.0000000000,2019-01-11,3
113447,10.0000000000,2019-01-11,4
113448,10.0000000000,2019-01-11,3
113449,10.0000000000,2019-01-11,4
113450,8.0000000000,2019-01-11,2
113451,10.0000000000,2019-01-11,4
113452,8.0000000000,2019-01-11,2
113453,8.0000000000,2019-01-11,2
113454,8.0000000000,2019-01-11,2
113455,10.0000000000,2019-01-11,4
113456,10.0000000000,2019-01-11,3
113457,10.0000000000,2019-01-11,4
113458,8.0000000000,2019-01-11,2
113459,8.0000000000,2019-01-11,2
113460,8.0000000000,2019-01-11,2
113461,8.0000000000,2019-01-11,2
113462,10.0000000000,2019-01-11,3
113463,12.0000000000,2019-01-11,1
113464,10.0000000000,2019-01-11,3
113465,8.0000000000,2019-01-11,2
113466,10.0000000000,2019-01-11,3
113467,8.0000000000,2019-01-11,2
113468,8.0000000000,2019-01-11,2
113469,8.0000000000,2019-01-11,2
113470,8.0000000000,2019-01-11,2
113471,8.0000000000,2019-01-11,2
113472,10.0000000000,2019-01-11,4
113473,10.0000000000,2019-01-11,3
113474,8.0000000000,2019-01-12,2
113475,8.0000000000,2019-01-12,2
113476,12.0000000000,2019-01-12,1
113477,8.0000000000,2019-01-12,2
113478,10.0000000000,2019-01-12,4
113479,12.0000000000,2019-01-12,1
113480,8.0000000000,2019-01-12,2
113481,8.0000000000,2019-01-12,2
113482,10.0000000000,2019-01-12,3
113483,10.0000000000,2019-01-12,3
113484,8.0000000000,2019-01-12,2
113485,10.0000000000,2019-01-12,4
113486,12.0000000000,2019-01-12,1
113487,10.0000000000,2019-01-12,3
113488,12.0000000000,2019-01-12,1
113489,10.0000000000,2019-01-12,4
113490,8.0000000000,2019-01-12,2
113491,10.0000000000,2019-01-12,3
113492,12.0000000000,2019-01-12,1
113493,8.0000000000,2019-01-12,2
113494,10.0000000000,2019-01-12,4
113495,12.0000000000,2019-01-12,1
113496,10.0000000000,2019-01-12,3
113497,10.0000000000,2019-01-12,4
113498,8.0000000000,2019-01-12,2
113499,10.0000000000,2019-01-12,4
113500,12.0000000000,2019-01-12,1
113501,8.0000000000,2019-01-12,2
113502,10.0000000000,2019-01-12,4
113503,10.0000000000,2019-01-12,3
113504,10.0000000000,2019-01-12,3
113505,8.0000000000,2019-01-12,2
113506,10.0000000000,2019-01-12,4
113507,12.0000000000,2019-01-12,1
113508,10.0000000000,2019-01-12,3
113509,10.0000000000,2019-01-12,4
113510,8.0000000000,2019-01-12,2
113511,10.0000000000,2019-01-12,3
113512,12.0000000000,2019-01-12,1
113513,8.0000000000,2019-01-12,2
113514,10.0000000000,2019-01-12,4
113515,12.0000000000,2019-01-12,1
113516,10.0000000000,2019-01-12,3
113517,10.0000000000,2019-01-12,4
113518,8.0000000000,2019-01-12,2
113519,12.0000000000,2019-01-12,1
113520,12.0000000000,2019-01-12,1
113521,10.0000000000,2019-01-12,4
113522,8.0000000000,2019-01-13,2
113523,8.0000000000,2019-01-13,2
113524,12.0000000000,2019-01-13,1
113525,10.0000000000,2019-01-13,4
113526,10.0000000000,2019-01-13,4
113527,10.0000000000,2019-01-13,3
113528,10.0000000000,2019-01-13,3
113529,8.0000000000,2019-01-13,2
113530,8.0000000000,2019-01-13,2
113531,12.0000000000,2019-01-13,1
113532,12.0000000000,2019-01-13,1
113533,10.0000000000,2019-01-13,4
113534,10.0000000000,2019-01-13,4
113535,10.0000000000,2019-01-13,3
113536,12.0000000000,2019-01-13,1
113537,8.0000000000,2019-01-13,2
113538,10.0000000000,2019-01-13,4
113539,12.0000000000,2019-01-13,1
113540,10.0000000000,2019-01-13,3
113541,12.0000000000,2019-01-13,1
113542,8.0000000000,2019-01-13,2
113543,10.0000000000,2019-01-13,4
113544,8.0000000000,2019-01-13,2
113545,10.0000000000,2019-01-13,3
113546,12.0000000000,2019-01-13,1
113547,10.0000000000,2019-01-13,4
113548,8.0000000000,2019-01-13,2
113549,10.0000000000,2019-01-13,4
113550,12.0000000000,2019-01-13,1
113551,10.0000000000,2019-01-13,3
113552,10.0000000000,2019-01-13,4
113553,8.0000000000,2019-01-13,2
113554,10.0000000000,2019-01-13,4
113555,12.0000000000,2019-01-13,1
113556,10.0000000000,2019-01-13,3
113557,10.0000000000,2019-01-13,4
113558,8.0000000000,2019-01-13,2
113559,12.0000000000,2019-01-13,1
113560,12.0000000000,2019-01-13,1
113561,10.0000000000,2019-01-13,4
113562,8.0000000000,2019-01-13,2
113563,8.0000000000,2019-01-13,2
113564,12.0000000000,2019-01-13,1
113565,10.0000000000,2019-01-13,3
113566,10.0000000000,2019-01-13,3
113567,8.0000000000,2019-01-13,2
113568,12.0000000000,2019-01-13,1
113569,12.0000000000,2019-01-13,1
113570,10.0000000000,2019-01-13,4
113571,10.0000000000,2019-01-13,4
113572,10.0000000000,2019-01-13,3
113573,10.0000000000,2019-01-13,3
113574,12.0000000000,2019-01-13,1
113575,10.0000000000,2019-01-13,4
113576,10.0000000000,2019-01-13,4
113577,10.0000000000,2019-01-13,3
113578,10.0000000000,2019-01-14,3
113579,8.0000000000,2019-01-14,2
113580,8.0000000000,2019-01-14,2
113581,12.0000000000,2019-01-14,1
113582,12.0000000000,2019-01-14,1
113583,10.0000000000,2019-01-14,4
113584,10.0000000000,2019-01-14,3
113585,10.0000000000,2019-01-14,3
113586,12.0000000000,2019-01-14,1
113587,10.0000000000,2019-01-14,4
113588,12.0000000000,2019-01-14,1
113589,8.0000000000,2019-01-14,2
113590,10.0000000000,2019-01-14,4
113591,12.0000000000,2019-01-14,1
113592,8.0000000000,2019-01-14,2
113593,10.0000000000,2019-01-14,3
113594,12.0000000000,2019-01-14,1
113595,10.0000000000,2019-01-14,3
113596,12.0000000000,2019-01-14,1
113597,10.0000000000,2019-01-14,3
113598,12.0000000000,2019-01-14,1
113599,8.0000000000,2019-01-14,2
113600,10.0000000000,2019-01-14,4
113601,12.0000000000,2019-01-14,1
113602,10.0000000000,2019-01-14,3
113603,10.0000000000,2019-01-14,4
113604,8.0000000000,2019-01-14,2
113605,12.0000000000,2019-01-14,1
113606,10.0000000000,2019-01-14,4
113607,10.0000000000,2019-01-14,4
113608,10.0000000000,2019-01-14,3
113609,12.0000000000,2019-01-14,1
113610,8.0000000000,2019-01-14,2
113611,10.0000000000,2019-01-14,4
113612,10.0000000000,2019-01-14,3
113613,10.0000000000,2019-01-14,3
113614,8.0000000000,2019-01-14,2
113615,10.0000000000,2019-01-14,4
113616,10.0000000000,2019-01-14,4
113617,10.0000000000,2019-01-14,3
113618,12.0000000000,2019-01-14,1
113619,10.0000000000,2019-01-14,3
113620,12.0000000000,2019-01-14,1
113621,8.0000000000,2019-01-14,2
113622,10.0000000000,2019-01-14,4
113623,8.0000000000,2019-01-14,2
113624,10.0000000000,2019-01-14,3
113625,12.0000000000,2019-01-14,1
113626,8.0000000000,2019-01-14,2
113627,10.0000000000,2019-01-14,4
113628,8.0000000000,2019-01-14,2
113629,10.0000000000,2019-01-14,3
113630,12.0000000000,2019-01-14,1
113631,8.0000000000,2019-01-14,2
113632,10.0000000000,2019-01-14,4
113633,10.0000000000,2019-01-14,4
113634,12.0000000000,2019-01-14,1
113635,10.0000000000,2019-01-14,3
113636,10.0000000000,2019-01-14,4
113637,8.0000000000,2019-01-14,2
113638,10.0000000000,2019-01-14,4
113639,12.0000000000,2019-01-14,1
113640,10.0000000000,2019-01-14,3
113641,10.0000000000,2019-01-14,4
113642,8.0000000000,2019-01-14,2
113643,10.0000000000,2019-01-14,4
113644,12.0000000000,2019-01-14,1
113645,10.0000000000,2019-01-14,3
113646,8.0000000000,2019-01-14,2
113647,12.0000000000,2019-01-14,1
113648,8.0000000000,2019-01-14,2
113649,10.0000000000,2019-01-14,4
113650,12.0000000000,2019-01-14,1
113651,10.0000000000,2019-01-14,3
113652,12.0000000000,2019-01-14,1
113653,8.0000000000,2019-01-14,2
113654,10.0000000000,2019-01-14,4
113655,10.0000000000,2019-01-14,3
113656,10.0000000000,2019-01-14,4
113657,12.0000000000,2019-01-14,1
113658,10.0000000000,2019-01-14,3
113659,12.0000000000,2019-01-14,1
113660,12.0000000000,2019-01-14,1
113661,10.0000000000,2019-01-14,3
113662,10.0000000000,2019-01-14,4
113663,8.0000000000,2019-01-14,2
113664,12.0000000000,2019-01-14,1
113665,12.0000000000,2019-01-14,1
113666,10.0000000000,2019-01-14,4
113667,8.0000000000,2019-01-14,2
113668,8.0000000000,2019-01-14,2
113669,12.0000000000,2019-01-14,1
113670,10.0000000000,2019-01-14,3
113671,10.0000000000,2019-01-15,4
113672,8.0000000000,2019-01-15,2
113673,10.0000000000,2019-01-15,4
113674,8.0000000000,2019-01-15,2
113675,10.0000000000,2019-01-15,3
113676,12.0000000000,2019-01-15,1
113677,10.0000000000,2019-01-15,3
113678,10.0000000000,2019-01-15,4
113679,8.0000000000,2019-01-15,2
113680,10.0000000000,2019-01-15,3
113681,8.0000000000,2019-01-15,2
113682,10.0000000000,2019-01-15,3
113683,12.0000000000,2019-01-15,1
113684,10.0000000000,2019-01-15,4
113685,8.0000000000,2019-01-15,2
113686,10.0000000000,2019-01-15,4
113687,10.0000000000,2019-01-15,3
113688,12.0000000000,2019-01-15,1
113689,10.0000000000,2019-01-15,3
113690,10.0000000000,2019-01-15,4
113691,8.0000000000,2019-01-15,2
113692,12.0000000000,2019-01-15,1
113693,12.0000000000,2019-01-15,1
113694,10.0000000000,2019-01-15,4
113695,8.0000000000,2019-01-15,2
113696,8.0000000000,2019-01-15,2
113697,12.0000000000,2019-01-15,1
113698,10.0000000000,2019-01-15,3
113699,10.0000000000,2019-01-15,3
113700,10.0000000000,2019-01-15,3
113701,12.0000000000,2019-01-15,1
113702,8.0000000000,2019-01-15,2
113703,10.0000000000,2019-01-15,4
113704,8.0000000000,2019-01-15,2
113705,10.0000000000,2019-01-15,3
113706,12.0000000000,2019-01-15,1
113707,10.0000000000,2019-01-15,3
113708,10.0000000000,2019-01-15,4
113709,8.0000000000,2019-01-15,2
113710,12.0000000000,2019-01-15,1
113711,10.0000000000,2019-01-15,3
113712,10.0000000000,2019-01-15,4
113713,8.0000000000,2019-01-15,2
113714,10.0000000000,2019-01-15,3
113715,12.0000000000,2019-01-15,1
113716,10.0000000000,2019-01-15,3
113717,10.0000000000,2019-01-15,4
113718,8.0000000000,2019-01-15,2
113719,10.0000000000,2019-01-15,4
113720,12.0000000000,2019-01-15,1
113721,10.0000000000,2019-01-15,3
113722,10.0000000000,2019-01-15,4
113723,8.0000000000,2019-01-15,2
113724,12.0000000000,2019-01-15,1
113725,12.0000000000,2019-01-15,1
113726,10.0000000000,2019-01-15,4
113727,8.0000000000,2019-01-15,2
113728,10.0000000000,2019-01-15,4
113729,12.0000000000,2019-01-15,1
113730,10.0000000000,2019-01-15,3
113731,12.0000000000,2019-01-15,1
113732,8.0000000000,2019-01-15,2
113733,10.0000000000,2019-01-15,4
113734,8.0000000000,2019-01-15,2
113735,12.0000000000,2019-01-15,1
113736,10.0000000000,2019-01-15,3
113737,10.0000000000,2019-01-15,4
113738,8.0000000000,2019-01-15,2
113739,10.0000000000,2019-01-15,4
113740,12.0000000000,2019-01-15,1
113741,10.0000000000,2019-01-15,3
113742,12.0000000000,2019-01-15,1
113743,12.0000000000,2019-01-15,1
113744,10.0000000000,2019-01-15,4
113745,8.0000000000,2019-01-15,2
113746,10.0000000000,2019-01-15,3
113747,12.0000000000,2019-01-15,1
113748,10.0000000000,2019-01-15,4
113749,10.0000000000,2019-01-15,4
113750,10.0000000000,2019-01-15,3
113751,12.0000000000,2019-01-15,1
113752,8.0000000000,2019-01-15,2
113753,10.0000000000,2019-01-15,4
113754,8.0000000000,2019-01-15,2
113755,10.0000000000,2019-01-15,3
113756,10.0000000000,2019-01-15,4
113757,10.0000000000,2019-01-15,3
113758,10.0000000000,2019-01-15,3
113759,8.0000000000,2019-01-15,2
113760,10.0000000000,2019-01-15,4
113761,12.0000000000,2019-01-15,1
113762,10.0000000000,2019-01-15,3
113763,12.0000000000,2019-01-15,1
113764,8.0000000000,2019-01-15,2
113765,10.0000000000,2019-01-15,4
113766,8.0000000000,2019-01-15,2
113767,10.0000000000,2019-01-15,3
113768,12.0000000000,2019-01-15,1
113769,10.0000000000,2019-01-15,4
113770,8.0000000000,2019-01-15,2
113771,10.0000000000,2019-01-16,4
113772,8.0000000000,2019-01-16,2
113773,10.0000000000,2019-01-16,3
113774,12.0000000000,2019-01-16,1
113775,10.0000000000,2019-01-16,3
113776,10.0000000000,2019-01-16,4
